column,value,suggestion,rule,rows,status,note
Adapter,0.0,,missing_marker,13870,proposed,
Age,0.0,,missing_marker,11579,proposed,Numeric column: confirm 0.0 is not a real measurement.
Age,Adult,adult,spelling_variant,6,proposed,Other spellings of this value exist; suggest 'adult'.
Age,young,Young,spelling_variant,4,proposed,Other spellings of this value exist; suggest 'Young'.
Age,8 weeks,8 weeks,whitespace,16,proposed,
Antibody,0.0,,missing_marker,13940,proposed,
Antibody,Null,,missing_marker,1,proposed,
Antibody,none,,missing_marker,8,proposed,
Barcode,0.0,,missing_marker,13805,proposed,
CELL_LINE,0.0,,missing_marker,8409,proposed,
CELL_LINE,NA_17Cl1,17Cl1,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Adult neural stem cells,Adult neural stem cells,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_AgRP+ ARH neurons,AgRP+ ARH neurons,na_prefix,17,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_B cell,B cell,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_BMDC,BMDC,na_prefix,12,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Bacterial cell,Bacterial cell,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_CD4 T-cells,CD4 T-cells,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_CD8+ T cells,CD8+ T cells,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Cortical neuron sorted from brain,Cortical neuron sorted from brain,na_prefix,9,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_EL4,EL4,na_prefix,3,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_ES,ES,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_ES cell derived neurons,ES cell derived neurons,na_prefix,3,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Embryonic kidney 293 cell,Embryonic kidney 293 cell,na_prefix,1,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Embryonic stem cell,Embryonic stem cell,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Erythroid progenitors,Erythroid progenitors,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_GV oocyte,GV oocyte,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_HEK-TtH cells stably expressing fused ER:HRasG12V,HEK-TtH cells stably expressing fused ER:HRasG12V,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_HFSC organoid culture,HFSC organoid culture,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_HSPC,HSPC,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Human CD14+ monocytes,Human CD14+ monocytes,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_ICM,ICM,na_prefix,1,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_LN CD19+ B cells,LN CD19+ B cells,na_prefix,10,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Late-stage oocytes,Late-stage oocytes,na_prefix,3,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Liver - whole organ,Liver - whole organ,na_prefix,3,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Lung - whole organ,Lung - whole organ,na_prefix,3,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_MEF expressing SV40 T,MEF expressing SV40 T,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_MI oocyte,MI oocyte,na_prefix,1,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_MII oocyte,MII oocyte,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Macrophage,macrophage,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Mettl1 knockdown,Mettl1 knockdown,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Mutiple Myeloma,Mutiple Myeloma,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Nasopharyngeal carcinoma 5-8F cells,Nasopharyngeal carcinoma 5-8F cells,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Neuronally differentiated SH-SY5Y,Neuronally differentiated SH-SY5Y,na_prefix,5,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Primary Keratinocytes,Primary Keratinocytes,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Primary basophilic erythroblasts,Primary basophilic erythroblasts,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Primary hippocampal neurons,Primary hippocampal neurons,na_prefix,3,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Primary keratinocytes from P0 back skin,Primary keratinocytes from P0 back skin,na_prefix,1,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_RD,RD,na_prefix,22,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_SK1,SK1,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Spontaneously Immortalized Mouse Keratinocyte Culture,Spontaneously Immortalized Mouse Keratinocyte Culture,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Squamous cell carcinoma,Squamous cell carcinoma,na_prefix,15,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Striatal,Striatal,na_prefix,9,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_T-cell,T-cell,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_TS543 glioblastoma,TS543 glioblastoma,na_prefix,10,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Thymocytes,Thymocytes,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Yeast cells,Yeast cells,na_prefix,5,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_Yeast whole cells,Yeast whole cells,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_all cells,all cells,na_prefix,9,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_archaea,archaea,na_prefix,5,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_archaeal cell,archaeal cell,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_bacteria,bacteria,na_prefix,12,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_bacterial cell,bacterial cell,na_prefix,13,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_blastocyst,blastocyst,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_bone marrow-derived macrophages (BMDMs)_immortalized primary cells,bone marrow-derived macrophages (BMDMs)_immortalized primary cells,na_prefix,9,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_cell line,cell line,na_prefix,3,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_early prediv M2G,early prediv M2G,na_prefix,1,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_early stalk M2G,early stalk M2G,na_prefix,1,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_embryonic stem (ES) cells,embryonic stem (ES) cells,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_embryonic stem cells,embryonic stem cells,na_prefix,3,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_epiblast like cells,epiblast like cells,na_prefix,3,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_excitatory neurons,excitatory neurons,na_prefix,11,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_fungal cells,fungal cells,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_hASC,hASC,na_prefix,3,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_immortalized bronchial epithelial cells,immortalized bronchial epithelial cells,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_inhibitory neurons,inhibitory neurons,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_late prediv M2G,late prediv M2G,na_prefix,1,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_late stalk M2G,late stalk M2G,na_prefix,1,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_lymphocyte of B lineage,lymphocyte of B lineage,na_prefix,7,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_morula,morula,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_mouse embryonic stem cell line,mouse embryonic stem cell line,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_mouse embryonic stem cells,mouse embryonic stem cells,na_prefix,24,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_n/a,n/a,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_neuron,neuron,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_neurons,neurons,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_oocyte,oocyte,na_prefix,10,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_patient-derived glioma stem cell,patient-derived glioma stem cell,na_prefix,5,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_post division M2G,post division M2G,na_prefix,1,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_primary B cell,primary B cell,na_prefix,9,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_primary neuronal culture (cortical),primary neuronal culture (cortical),na_prefix,24,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_primary splenic B cells,primary splenic B cells,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_resting state B cells,resting state B cells,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_resting state T cells,resting state T cells,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_somatic cells,somatic cells,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_swarmer M2G,swarmer M2G,na_prefix,1,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_ventricular cardiomyocytes,ventricular cardiomyocytes,na_prefix,4,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_whole cell extract,whole cell extract,na_prefix,8,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_whole cells,whole cells,na_prefix,5,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_whole organism,whole organism,na_prefix,6,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_wild type,wild type,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_yeast,yeast,na_prefix,2,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_yeast cell,yeast cell,na_prefix,10,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,NA_yeast cells,yeast cells,na_prefix,25,proposed,Looks like 'NA' joined to a value with '_'; confirm what the prefix meant.
CELL_LINE,HUVEC,huvec,spelling_variant,3,proposed,Other spellings of this value exist; suggest 'huvec'.
CELL_LINE,hap1,HAP1,spelling_variant,16,proposed,Other spellings of this value exist; suggest 'HAP1'.
CONDITION,0.0,,missing_marker,1180,proposed,
Cancer,0.0,,missing_marker,13755,proposed,
Disease,0.0,,missing_marker,13976,proposed,
Dose,0.0,,missing_marker,13818,proposed,Numeric column: confirm 0.0 is not a real measurement.
Ethnicity,0.0,,missing_marker,13976,proposed,
Ethnicity,Caucasian,caucasian,spelling_variant,4,proposed,Other spellings of this value exist; suggest 'caucasian'.
FRACTION,40s_40s,40s,duplicated_join,25,proposed,
FRACTION,80s_80s,80S,duplicated_join,26,proposed,
FRACTION,Ribosome protected fragments 25-34nt_Ribosome protected fragments 25-34nt,Ribosome protected fragments 25-34nt,duplicated_join,4,proposed,
